Number,Name,Image Link,Type,Rarity,Set,Back Image Link,Traits,Intercept,Force,Green Energy,Yellow Energy,Red Energy,Rules Text,Flavor Text,Obtained Via,Description,ChamberFrontI,ChamberFrontF,ChamberFrontG,ChamberFrontY,ChamberFrontR,ChamberFrontRul,ChamberFrontFlav,ChamberBackI,ChamberBackF,ChamberBackG,ChamberBackY,ChamberBackR,ChamberBackRul,ChamberBackFlav
1,Blazing Axe Kick,https://github.com/zolodio/Avatar-TCG-Database/raw/main/1.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,6,3,2,1,,"When you counterattack against a strike that has 3 Force or less, Blazing Axe Kick gets +3 Force.","""Show me weakness, and your reward shall be pain.""","STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
2,Boiling Point,https://github.com/zolodio/Avatar-TCG-Database/raw/main/2.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,8,3,2,,1,"When you counterattack against a strike that has 3 Force or less, Boiling Point gets +3 Force.",,"STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
3,Burning Blade,https://github.com/zolodio/Avatar-TCG-Database/raw/main/3.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,5,3,2,1,,"When you counterattack, your opponent uncharges one of his or her zones.","Zuko's fury is the blade, his heart the scabbard.","STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
4,Burning Disc,https://github.com/zolodio/Avatar-TCG-Database/raw/main/4.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,5,6,1,1,1,"When you counterattack, your opponent uncharges one of his or her zones.",A fireball flattened by rage--hard to control. but even harder to defend against.,"STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
5,Burning Lash,https://github.com/zolodio/Avatar-TCG-Database/raw/main/5.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,7,4,1,2,,"-4 Intercept → When you counterattack, your opponent uncharges one of his or her zones.",,"STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
6,Doublefoot Dropkick,https://github.com/zolodio/Avatar-TCG-Database/raw/main/6.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,5,1,,1,,Yellow → +4 Force. Use only once.,"At 112 years old, King Bumi is stronger than most benders a quarter his age.","STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
7,Eye of Ozai,https://github.com/zolodio/Avatar-TCG-Database/raw/main/7.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,4,6,,2,,Eliminate one of your allies → +1 Intercept. Use only once.,,"STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
8,Fetch!,https://github.com/zolodio/Avatar-TCG-Database/raw/main/8.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,5,4,3,,,"When you counterattack, you may eliminate a green energy.","""It seems I've lost my pet Flopsie. Bring him to me!""","STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
9,Flare,https://github.com/zolodio/Avatar-TCG-Database/raw/main/9.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,4,3,,1,,"When you counterattack, you may eliminate a green energy.",A guttering flame is misery to any Firebender.,"STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
10,Flying Fire Fist,https://github.com/zolodio/Avatar-TCG-Database/raw/main/10.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,5,7,1,2,1,"When you counterattack, you may eliminate up to two green energy.","As the brushfire swallows the autumn field, so did the Fire Nation move against the other nations.","STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
11,Gout of Flame,https://github.com/zolodio/Avatar-TCG-Database/raw/main/11.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,5,3,1,1,,"When you counterattack against a strike that has 3 Force or less, Gout of Flame gets +3 Force.","""The powerless deserve no mercy, only contempt.""","STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
12,Jagged Ground,https://github.com/zolodio/Avatar-TCG-Database/raw/main/12.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,2,2,1,,,Red → Choose one: Jagged Ground gets +2 Intercept; or Jagged Ground gets +2 Force.,"When you're fighting an Earthbender, there's no such thing as a ""level playing field.""","STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
13,Quicksand,https://github.com/zolodio/Avatar-TCG-Database/raw/main/13.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,3,4,1,,,"Reflip: Green | Whenever your opponent focuses, he or she eliminates one of his or her green energy.","King Bumi has a ""soft spot"" for this particular technique.","STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
14,Rock the House,https://github.com/zolodio/Avatar-TCG-Database/raw/main/14.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,6,3,1,,1,"Whenever your opponent focuses, he or she eliminates one of his or her green energy.","""What do you mean, 'We're safer in here'?!"" --Mu Ki, Fire Nation Soldier","STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
15,Scorching Phoenix,https://github.com/zolodio/Avatar-TCG-Database/raw/main/15.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,6,6,1,1,1,"-4 Intercept → When you counterattack, eliminate all of your opponent's green energy.",,"STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
16,Searing Cage,https://github.com/zolodio/Avatar-TCG-Database/raw/main/16.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,6,2,1,,1,"When you counterattack, your opponent eliminates one of his or her allies.","No lock to pick, no bars to bend,. nothing but torment without end.","STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
17,Stoke the Flames,https://github.com/zolodio/Avatar-TCG-Database/raw/main/17.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,8,4,1,1,1,"Eliminate one of your allies → When you counterattack, eliminate up to two green energy.","""The Avatar must be captured at any cost!""","STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
18,Tectonic Shift,https://github.com/zolodio/Avatar-TCG-Database/raw/main/18.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,3,6,2,,,"When you counterattack, you may eliminate up to two green energy.","In Omashu, King Bumi's word is law. Even the Earth must obey.","STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
19,Titanic Fireball,https://github.com/zolodio/Avatar-TCG-Database/raw/main/19.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,5,5,2,1,,"Eliminate one of your allies → When you counterattack, your opponent eliminates one of his or her allies. Use only once.",,"STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
20,Wildfire Arc,https://github.com/zolodio/Avatar-TCG-Database/raw/main/20.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,bull,7,6,2,1,1,"-4 Intercept → When you counterattack, your opponent eliminates one of his or her allies. Use only once.",,"STRT001, STRT007, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
21,Blast Cushion,https://github.com/zolodio/Avatar-TCG-Database/raw/main/21.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,8,1,2,,1,"-1 Intercept → When you counterattack, move one of your green energy to your yellow zone.",,"STRT001, STRT002, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
22,Breath of the Dragon,https://github.com/zolodio/Avatar-TCG-Database/raw/main/22.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,4,6,,2,,"When you counterattack, look at the top two cards of your deck. Put one on the top of your deck and the other into your discard pile.","Once, a King forbade his court from paying the Dragon's tribute. -Dragon's Parable","STRT001, STRT002, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
23,Canyon Sprint,https://github.com/zolodio/Avatar-TCG-Database/raw/main/23.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,5,5,,2,,"While your opponent is defending, his or her zones cannot be charged.",,"STRT001, STRT002, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
24,Careening Koi,https://github.com/zolodio/Avatar-TCG-Database/raw/main/24.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,5,4,3,,,"When you counterattack, you may move one of your yellow energy to your red zone.","""He looks pretty good out there."" ""Are you kidding? The fish is doing all the work.""","STRT001, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
25,Frost Blade,https://github.com/zolodio/Avatar-TCG-Database/raw/main/25.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,3,4,,1,,Reflip: Green | Your opponent's strikes cost an additional yellow energy to play.,Kinto wields a sword that is as cold as his heart.,"STRT001, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
26,Frost Daggers,https://github.com/zolodio/Avatar-TCG-Database/raw/main/26.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,6,1,,1,1,Your opponent's strikes cost an additional yellow energy to play.,,"STRT001, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
27,Frost Spear,https://github.com/zolodio/Avatar-TCG-Database/raw/main/27.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,4,5,1,,1,Your opponent's strikes cost an additional yellow energy to play.,,"STRT001, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
28,Gale Force,https://github.com/zolodio/Avatar-TCG-Database/raw/main/28.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,3,6,2,,,"When you counterattack, you may move an ally to the top of its owner's deck.",,"STRT001, STRT002, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
29,Howling Cyclone,https://github.com/zolodio/Avatar-TCG-Database/raw/main/29.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,8,7,3,,1,"Whenever your opponent focuses, Howling Cyclone gets -2 Force.","The ""stuck out tongue technique"" is Aang's innovation and not part of the traditional form.","STRT001, STRT002, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
30,Howling Squall,https://github.com/zolodio/Avatar-TCG-Database/raw/main/30.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,5,7,2,,1,"Whenever your opponent focuses, Howling Squall gets -1 Force.","""It's like a battering ram. You grab all the air in the hall, and then shove!""","STRT001, STRT002, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
31,Howling Wind,https://github.com/zolodio/Avatar-TCG-Database/raw/main/31.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,5,5,,,1,"Whenever your opponent focuses, Howling Wind gets -1 Force.","Wind formed the face of the world, and air will shape its future.","STRT001, STRT002, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
32,Nimbus Churn,https://github.com/zolodio/Avatar-TCG-Database/raw/main/32.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,7,5,1,1,1,"-4 Intercept → When you counterattack, move an ally to the top of its owner's deck.","""Monk Gyatso used to call this 'Stirring the Sky.'""","STRT001, STRT002, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
33,Rocky Road,https://github.com/zolodio/Avatar-TCG-Database/raw/main/33.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,6,5,2,2,,"When you counterattack, you may move an ally to the top of its owner's deck.",,"STRT001, STRT002, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
34,Spinning Tempest,https://github.com/zolodio/Avatar-TCG-Database/raw/main/34.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,7,3,1,,1,"-3 Intercept → When you counterattack, move one of your yellow energy to your red zone.","""How nice of you to all stand so close together for me.""","STRT001, STRT002, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
35,Swirling Flames,https://github.com/zolodio/Avatar-TCG-Database/raw/main/35.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,5,6,2,,1,Red → +2 Intercept. Use only once.,"""Surrender! You're clearly outnumbered."" ""That's true, but you are clearly outmatched.""","STRT001, STRT008, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
36,Teeth of the Dragon,https://github.com/zolodio/Avatar-TCG-Database/raw/main/36.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,5,1,2,,,"When you counterattack, look at the top two cards of your deck. Put one on the top of your deck and the other into your discard pile.",Let the Dragon seek my favor!' laughed the foolish King. -Dragon's Parable,"STRT001, STRT008, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
37,Terra Break,https://github.com/zolodio/Avatar-TCG-Database/raw/main/37.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,6,6,1,1,1,"-2 Intercept → While your opponent is defending, his or her zones cannot be charged.",Some travelers refuse to give up their riches peacefully. That's when the road gets a new crater.,"STRT001, STRT002, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
38,Tongue of the Dragon,https://github.com/zolodio/Avatar-TCG-Database/raw/main/38.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,7,4,1,2,,"When you counterattack, look at the top two cards of your deck. Put one on the top of your deck and the other into your discard pile.","At dawn, the King awoke to burning skies and saw true power. -Dragon's Parable","STRT001, STRT008, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
39,Water Lasso,https://github.com/zolodio/Avatar-TCG-Database/raw/main/39.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,6,4,2,1,,Your opponent cannot play signature moves.,Water Tribe elders teach their young kindness and honor. Kinto was a bad student.,"STRT001, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
40,Wind on the Waves,https://github.com/zolodio/Avatar-TCG-Database/raw/main/40.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,fox,4,4,2,,,"When you counterattack, you may move one of your green energy to your yellow zone.","""All I've got to do is... figure out what I've got to do. After that, no problem!""","STRT001, STRT002, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
41,Bitter Batter,https://github.com/zolodio/Avatar-TCG-Database/raw/main/41.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,4,3,,1,,"When you counterattack from a charged zone, add a green energy.","Gyatso's pastries were often ""bestowed upon"" other monks.","STRT001, STRT009, BSTR001, BSTR002, BSTR003, BSTR004, XPS001",,,,,,,,,,,,,,,
