Number,Name,Surface Finish Front,Surface Finish Back
1,Blazing Axe Kick,semi-gloss,semi-gloss
2,Boiling Point,semi-gloss,semi-gloss
3,Burning Blade,semi-gloss,semi-gloss
4,Burning Disc,semi-gloss,semi-gloss
5,Burning Lash,semi-gloss,semi-gloss
6,Doublefoot Dropkick,semi-gloss,semi-gloss
7,Eye of Ozai,semi-gloss,semi-gloss
8,Fetch!,semi-gloss,semi-gloss
9,Flare,semi-gloss,semi-gloss
10,Flying Fire Fist,semi-gloss,semi-gloss
11,Gout of Flame,semi-gloss,semi-gloss
12,Jagged Ground,semi-gloss,semi-gloss
13,Quicksand,semi-gloss,semi-gloss
14,Rock the House,semi-gloss,semi-gloss
15,Scorching Phoenix,semi-gloss,semi-gloss
16,Searing Cage,semi-gloss,semi-gloss
17,Stoke the Flames,semi-gloss,semi-gloss
18,Tectonic Shift,semi-gloss,semi-gloss
19,Titanic Fireball,semi-gloss,semi-gloss
20,Wildfire Arc,semi-gloss,semi-gloss
21,Blast Cushion,semi-gloss,semi-gloss
22,Breath of the Dragon,semi-gloss,semi-gloss
23,Canyon Sprint,semi-gloss,semi-gloss
24,Careening Koi,semi-gloss,semi-gloss
25,Frost Blade,semi-gloss,semi-gloss
26,Frost Daggers,semi-gloss,semi-gloss
27,Frost Spear,semi-gloss,semi-gloss
28,Gale Force,semi-gloss,semi-gloss
29,Howling Cyclone,semi-gloss,semi-gloss
30,Howling Squall,semi-gloss,semi-gloss
31,Howling Wind,semi-gloss,semi-gloss
32,Nimbus Churn,semi-gloss,semi-gloss
33,Rocky Road,semi-gloss,semi-gloss
34,Spinning Tempest,semi-gloss,semi-gloss
35,Swirling Flames,semi-gloss,semi-gloss
36,Teeth of the Dragon,semi-gloss,semi-gloss
37,Terra Break,semi-gloss,semi-gloss
38,Tongue of the Dragon,semi-gloss,semi-gloss
39,Water Lasso,semi-gloss,semi-gloss
40,Wind on the Waves,semi-gloss,semi-gloss
41,Bitter Butter,semi-gloss,semi-gloss
42,Blowback,semi-gloss,semi-gloss
43,Creeping Crystal,semi-gloss,semi-gloss
44,Dancing Mists,semi-gloss,semi-gloss
45,Double Crest,semi-gloss,semi-gloss
46,Hurricane Vault,semi-gloss,semi-gloss
47,Just Desserts,semi-gloss,semi-gloss
48,Million Gallon Attack,semi-gloss,semi-gloss
49,Mischievous Downpour,semi-gloss,semi-gloss
50,Sea Sphere,semi-gloss,semi-gloss
51,Snowball Smash,semi-gloss,semi-gloss
52,Stifling Breeze,semi-gloss,semi-gloss
53,Stifling Wind,semi-gloss,semi-gloss
54,Surf Spray,semi-gloss,semi-gloss
55,Sweet Revenge,semi-gloss,semi-gloss
56,Tandem Attack,semi-gloss,semi-gloss
57,Wall of Water,semi-gloss,semi-gloss
58,Whirling Debris,semi-gloss,semi-gloss
59,Windmill Barrier,semi-gloss,semi-gloss
60,Windmill Dome,semi-gloss,semi-gloss
61,Bell Ringer,semi-gloss,semi-gloss
62,Boomerang Toss,semi-gloss,semi-gloss
63,Canyon Crawler Clash,semi-gloss,semi-gloss
64,Coal Rake,semi-gloss,semi-gloss
65,Downdraft,semi-gloss,semi-gloss
66,Earthbound,semi-gloss,semi-gloss
67,Earthbridge,semi-gloss,semi-gloss
68,Evade,semi-gloss,semi-gloss
69,Falling Leaf Ambush,semi-gloss,semi-gloss
70,Knuckle Sandwich,semi-gloss,semi-gloss
71,Kyoshi Backhand,semi-gloss,semi-gloss
72,Kyoshi Fan Parry,semi-gloss,semi-gloss
73,Kyoshi Fan Throw,semi-gloss,semi-gloss
74,Kyoshi Pride,semi-gloss,semi-gloss
75,Pummel,semi-gloss,semi-gloss
76,Seize the Moment,semi-gloss,semi-gloss
77,Skewer,semi-gloss,semi-gloss
78,Snapped Off,semi-gloss,semi-gloss
79,Tremor Trail,semi-gloss,semi-gloss
80,Will of the Warrior,semi-gloss,semi-gloss
