Trait,Icon Link
bull,https://github.com/zolodio/Avatar-TCG-Database/raw/main/bull.png
fox,https://github.com/zolodio/Avatar-TCG-Database/raw/main/fox.png
lion,https://github.com/zolodio/Avatar-TCG-Database/raw/main/lion.png
mind,https://github.com/zolodio/Avatar-TCG-Database/raw/main/mind.png
body,https://github.com/zolodio/Avatar-TCG-Database/raw/main/body.png
spirit,https://github.com/zolodio/Avatar-TCG-Database/raw/main/spirit.png
light,https://github.com/zolodio/Avatar-TCG-Database/raw/main/light.png
shadow,https://github.com/zolodio/Avatar-TCG-Database/raw/main/shadow.png
dark,https://github.com/zolodio/Avatar-TCG-Database/raw/main/dark.png
water,https://github.com/zolodio/Avatar-TCG-Database/raw/main/water.png
earth,https://github.com/zolodio/Avatar-TCG-Database/raw/main/earth.png
fire,https://github.com/zolodio/Avatar-TCG-Database/raw/main/fire.png
air,https://github.com/zolodio/Avatar-TCG-Database/raw/main/air.png
